model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,expanding_signed_log_large_net_flow,0.00010279211996324866,8.347407377668957e-06,12.314257027665723,103,5.755346094078247e-22,8.623700620983252e-05,0.0001193472337166648
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,expanding_signed_log_ordinary_net_flow,2.3787409432777915e-05,3.2286070759996643e-06,7.3677003341797755,103,4.466344824776489e-11,1.7384228781591722e-05,3.0190590083964107e-05
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,lagged_30m_price_change,0.02139841789035623,0.006100111235433782,3.5078733918914478,103,0.0006709170532228218,0.009300285998379558,0.0334965497823329
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,yes_price_t,-0.003633079710759356,0.0012414395125709397,-2.926505620266175,103,0.00421828132286967,-0.0060951821838672,-0.0011709772376515119
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,log_lagged_30m_volume,-5.677002915323109e-06,3.918979722032574e-06,-1.4485920617059835,103,0.15048903747522274,-1.3449374881874739e-05,2.095369051228521e-06
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,log_minutes_to_kickoff,9.098186938514778e-05,1.46810670793173e-05,6.197224554155406,103,1.1998287816006145e-08,6.186543544065968e-05,0.00012009830332963588
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,expanding_log_abs_large_net_flow,0.01186802059118508,0.0007283550498040492,16.29427927269531,103,2.840757961626138e-30,0.010423500136290453,0.013312541046079707
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,expanding_log_abs_ordinary_net_flow,0.005535345933478791,0.0009727440103537457,5.690444633491827,103,1.1985858891810698e-07,0.0036061376157630765,0.007464554251194506
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,absolute_lagged_30m_price_change,2.9244010304121124,0.8595860283625395,3.4021039592545765,103,0.0009532169463743598,1.219614881067264,4.629187179756961
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,yes_price_t,-0.0479112966819356,0.15909372877113734,-0.3011513844826524,103,0.7639061659140991,-0.36343618460190386,0.26761359123803263
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,log_lagged_30m_volume,0.0034285855839088705,0.001005491592419652,3.4098600224574684,103,0.000929210276727067,0.001434430160855905,0.005422741006961836
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,log_minutes_to_kickoff,-0.016077912462447386,0.0028770172723623128,-5.588396224415381,103,1.8845862725690266e-07,-0.02178379766243409,-0.01037202726246068
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,expanding_signed_log_large_net_flow,0.00037028688387089206,2.8876863913932606e-05,12.82296044939405,103,4.544281044914613e-23,0.0003130164350587278,0.0004275573326830563
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,expanding_signed_log_ordinary_net_flow,0.000180759394105188,3.0761611696280385e-05,5.876135356296854,103,5.209675457692362e-08,0.00011975099259447227,0.00024176779561590372
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,lagged_30m_price_change,0.09856293563369253,0.020213218734698866,4.876162323642955,103,3.945111157963852e-06,0.0584747836679897,0.13865108759939537
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,yes_price_t,-0.0900167189097945,0.0272189548308895,-3.307133557076879,103,0.0012985219569614363,-0.1439990960823708,-0.03603434173721821
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,log_lagged_30m_volume,-6.058483693102798e-05,6.632980605003762e-05,-0.9133878197280454,103,0.36317171266456816,-0.0001921343629956168,7.096468913356084e-05
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,log_minutes_to_kickoff,0.00039009987222321285,0.00018968569290474393,2.056559281037145,103,0.04225645873932931,1.3903038720817194e-05,0.0007662967057256085
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,rolling7_signed_log_large_net_flow,0.00010298819287490021,8.701094115478608e-06,11.836234789334341,102,7.371656849072659e-21,8.572961395312146e-05,0.00012024677179667896
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,rolling7_signed_log_ordinary_net_flow,2.4449828251705795e-05,3.3514747590244073e-06,7.29524463398405,102,6.630277020352707e-11,1.780219395821206e-05,3.1097462545199534e-05
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,lagged_30m_price_change,0.023536542855852622,0.007700876795782204,3.05634585255846,102,0.0028602028486343694,0.008261890245157213,0.03881119546654803
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,yes_price_t,-0.004700248303657112,0.0017046368256395353,-2.7573311997960044,102,0.006906139828775049,-0.0080813873647707,-0.0013191092425435236
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,log_lagged_30m_volume,-5.599720590132968e-06,4.698106290249862e-06,-1.19191015361961,102,0.23606225330891237,-1.4918392140753519e-05,3.718950960487582e-06
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,log_minutes_to_kickoff,0.00010520301154914546,1.821492378322611e-05,5.775649286330013,102,8.349609226069612e-08,6.907379659125155e-05,0.00014133222650703937
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,rolling7_log_abs_large_net_flow,0.011581154899914452,0.0006836368498049623,16.94050708825671,102,2.0578543815583605e-31,0.010225164449793208,0.012937145350035695
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,rolling7_log_abs_ordinary_net_flow,0.0056472844737991985,0.001027658864114333,5.495290967656078,102,2.8851746165219625e-07,0.003608927989477096,0.007685640958121302
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,absolute_lagged_30m_price_change,2.380822189609908,0.9000210184421763,2.6452962106716273,102,0.009453433858935751,0.5956347669831643,4.1660096122366514
