model,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_EVENT_MINUTE,expanding_signed_log_large_net_flow,0.00012536372273840127,1.324743260368737e-05,9.463246690042173,86,5.608506779257341e-15,9.90286983206851e-05,0.00015169874715611744
EXPANDING_EVENT_MINUTE,expanding_signed_log_ordinary_net_flow,2.3615940196248238e-05,4.890978612232804e-06,4.828469324560635,86,5.924817321261655e-06,1.3892996511007194e-05,3.333888388148928e-05
EXPANDING_EVENT_MINUTE,v5_lagged_30m_price_change,0.047323175943193435,0.008939343133942273,5.2938090902349995,86,9.050089030007623e-07,0.02955234994592167,0.0650940019404652
EXPANDING_EVENT_MINUTE,v5_baseline_price,-0.00537829474588326,0.0036739443924876276,-1.4639020549360076,86,0.1468664663662056,-0.012681854475529452,0.0019252649837629308
EXPANDING_EVENT_MINUTE,log_lagged_30m_volume,-3.881700507650668e-06,9.504543473698017e-06,-0.40840472963194097,86,0.6839916764975507,-2.2776107593700795e-05,1.501270657839946e-05
EXPANDING_EVENT_MINUTE,log_minutes_to_kickoff,4.78594198455229e-17,5.042977079144572e-19,94.90310801420732,86,7.857615234405333e-89,4.6856909181831816e-17,4.8861930509213983e-17
EXPANDING_EVENT_5MINUTE,expanding_signed_log_large_net_flow,9.083094544038913e-05,9.270115619105779e-06,9.798253783716124,86,1.1688990358148388e-15,7.240256550537814e-05,0.00010925932537540012
EXPANDING_EVENT_5MINUTE,expanding_signed_log_ordinary_net_flow,1.7044657649717813e-05,3.313436059127359e-06,5.144103385597478,86,1.6712370599864214e-06,1.045776476759272e-05,2.3631550531842906e-05
EXPANDING_EVENT_5MINUTE,v5_lagged_30m_price_change,0.03468091838832061,0.009686236360327163,3.580432801574669,86,0.0005670853541167959,0.015425317797910097,0.05393651897873113
EXPANDING_EVENT_5MINUTE,v5_baseline_price,-0.005318753102365462,0.0034901262638975905,-1.5239428892253764,86,0.13119199431266015,-0.012256894486460675,0.0016193882817297509
EXPANDING_EVENT_5MINUTE,log_lagged_30m_volume,-5.380414444373971e-06,8.034366891918478e-06,-0.6696749746126187,86,0.5048590680668128,-2.1352207214292994e-05,1.0591378325545053e-05
EXPANDING_EVENT_5MINUTE,log_minutes_to_kickoff,0.0002633620752976404,0.0003182580835545729,0.8275110324180681,86,0.41023782574658496,-0.0003693140554125712,0.0008960382060078521
ROLLING7_EVENT_MINUTE,rolling7_signed_log_large_net_flow,0.00012582651192767915,1.4275934476067526e-05,8.813889706387862,77,2.7398286607956836e-13,9.739949465393312e-05,0.00015425352920142517
ROLLING7_EVENT_MINUTE,rolling7_signed_log_ordinary_net_flow,2.69886508366747e-05,5.762427735104327e-06,4.68355562574115,77,1.1902352291221623e-05,1.5514191281040277e-05,3.8463110392309125e-05
ROLLING7_EVENT_MINUTE,v5_lagged_30m_price_change,0.049449278772083397,0.009895840412740973,4.996976174799369,77,3.5560943188662433e-06,0.029744143054150934,0.06915441449001586
ROLLING7_EVENT_MINUTE,v5_baseline_price,-0.004837171496164737,0.004577966844063036,-1.056620037001328,77,0.2939888728050527,-0.013953068096347547,0.0042787251040180725
ROLLING7_EVENT_MINUTE,log_lagged_30m_volume,1.5749287497095317e-06,1.1154705369779164e-05,0.14118963231215415,77,0.8880888667265724,-2.0636927347125638e-05,2.3786784846544704e-05
ROLLING7_EVENT_MINUTE,log_minutes_to_kickoff,2.0298554964201084e-16,5.886904814163103e-18,34.48086151378817,77,1.437733356889854e-48,1.9126322455557552e-16,2.1470787472844615e-16
ROLLING7_EVENT_5MINUTE,rolling7_signed_log_large_net_flow,9.223782400557618e-05,1.0166226554532888e-05,9.072965619131264,77,8.675391344947182e-14,7.199428069434846e-05,0.0001124813673168039
ROLLING7_EVENT_5MINUTE,rolling7_signed_log_ordinary_net_flow,1.9238205953874226e-05,3.7655040368992127e-06,5.109065284581756,77,2.2889893558279536e-06,1.1740129489545964e-05,2.6736282418202488e-05
ROLLING7_EVENT_5MINUTE,v5_lagged_30m_price_change,0.03653409945236243,0.01056737731666504,3.4572532386770334,77,0.0008917085607686536,0.015491762922825662,0.0575764359818992
ROLLING7_EVENT_5MINUTE,v5_baseline_price,-0.004748968868330909,0.004393450429124962,-1.080920097982477,77,0.2831065220146426,-0.013497446346246972,0.003999508609585155
ROLLING7_EVENT_5MINUTE,log_lagged_30m_volume,-1.94199746626694e-06,9.680511646399653e-06,-0.2006089695671408,77,0.8415332744865314,-2.121835883176869e-05,1.7334363899234812e-05
ROLLING7_EVENT_5MINUTE,log_minutes_to_kickoff,0.00034892324394379096,0.000344014631071155,1.0142686165915447,77,0.3136311199180499,-0.0003360974022545598,0.0010339438901421417
