model,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_EVENT_MINUTE,0.00010174778254215303,1.076180387357537e-05,9.454528602958973,86,5.8423510764007e-15,8.035402450103695e-05,0.0001231415405832691
EXPANDING_EVENT_5MINUTE,7.378628779067131e-05,7.332118092570336e-06,10.06343417537686,86,3.387295585292924e-16,5.921051943026675e-05,8.836205615107589e-05
ROLLING7_EVENT_MINUTE,9.883786109100444e-05,1.1027253576484691e-05,8.963053257592026,77,1.4128548310796273e-13,7.687979393776702e-05,0.00012079592824424186
ROLLING7_EVENT_5MINUTE,7.299961805170195e-05,7.785818482231614e-06,9.375972252409666,77,2.2656779554913227e-14,5.749607277726213e-05,8.850316332614177e-05
