specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
rolling_7d,13,1897071,1,0.0,3,1,1,3,0.3333333333333333,1.0
rolling_7d,13,1897071,1,1.0,20,5,5,53,0.25,1.0
expanding,13,1897072,0,0.0,2278,304,193,2938,0.1334503950834065,0.6348684210526315
expanding,13,1897072,0,1.0,571,325,244,1629,0.5691768826619965,0.7507692307692307
expanding,13,1897072,1,0.0,21,2,2,22,0.09523809523809523,1.0
expanding,13,1897072,1,1.0,35,9,5,65,0.2571428571428571,0.5555555555555556
rolling_7d,13,1897072,0,0.0,2278,304,193,2938,0.1334503950834065,0.6348684210526315
rolling_7d,13,1897072,0,1.0,571,325,244,1629,0.5691768826619965,0.7507692307692307
rolling_7d,13,1897072,1,0.0,21,2,2,22,0.09523809523809523,1.0
rolling_7d,13,1897072,1,1.0,35,9,5,65,0.2571428571428571,0.5555555555555556
expanding,14,1897073,0,0.0,9849,551,337,11645,0.055944765966087925,0.6116152450090744
expanding,14,1897073,0,1.0,1143,786,530,3717,0.6876640419947506,0.6743002544529262
expanding,14,1897073,1,0.0,39,2,2,39,0.05128205128205128,1.0
expanding,14,1897073,1,1.0,58,22,20,400,0.3793103448275862,0.9090909090909091
rolling_7d,14,1897073,0,0.0,9855,552,338,11651,0.056012176560121765,0.6123188405797102
rolling_7d,14,1897073,0,1.0,1137,785,529,3711,0.6904133685136323,0.6738853503184713
rolling_7d,14,1897073,1,0.0,39,2,2,39,0.05128205128205128,1.0
rolling_7d,14,1897073,1,1.0,58,22,20,400,0.3793103448275862,0.9090909090909091
expanding,14,1897074,0,0.0,2741,93,45,3136,0.03392922291134622,0.4838709677419355
expanding,14,1897074,0,1.0,424,276,213,789,0.6509433962264151,0.7717391304347826
expanding,14,1897074,1,0.0,10,0,0,10,0.0,
expanding,14,1897074,1,1.0,9,2,1,23,0.2222222222222222,0.5
rolling_7d,14,1897074,0,0.0,2741,93,45,3136,0.03392922291134622,0.4838709677419355
