specification,event_id,large_action,dynamic_high_activity,actions,any_next,same_next,any_next_action_5m,same_direction_given_next_5m
rolling_7d,92,1,0.0,86,6,4,0.06976744186046512,0.6666666666666666
rolling_7d,92,1,1.0,151,39,28,0.2582781456953642,0.717948717948718
rolling_7d,93,0,0.0,25083,1256,452,0.05007375513295858,0.35987261146496813
rolling_7d,93,0,1.0,3480,1987,1473,0.5709770114942528,0.7413185707096125
rolling_7d,93,1,0.0,95,5,4,0.05263157894736842,0.8
rolling_7d,93,1,1.0,129,29,23,0.2248062015503876,0.7931034482758621
rolling_7d,94,0,0.0,21325,1345,663,0.0630715123094959,0.4929368029739777
rolling_7d,94,0,1.0,3038,1461,1089,0.4809084924292298,0.7453798767967146
rolling_7d,94,1,0.0,68,5,4,0.07352941176470588,0.8
rolling_7d,94,1,1.0,153,19,12,0.12418300653594772,0.631578947368421
rolling_7d,95,0,0.0,21994,2186,496,0.09939074292988997,0.22689844464775846
rolling_7d,95,0,1.0,3042,1444,1184,0.4746877054569362,0.8199445983379502
rolling_7d,95,1,0.0,96,3,3,0.03125,1.0
rolling_7d,95,1,1.0,109,15,12,0.13761467889908258,0.8
rolling_7d,96,0,0.0,18637,1079,581,0.05789558405322745,0.5384615384615384
rolling_7d,96,0,1.0,2548,1288,965,0.5054945054945055,0.7492236024844721
rolling_7d,96,1,0.0,100,8,7,0.08,0.875
rolling_7d,96,1,1.0,103,16,13,0.1553398058252427,0.8125
rolling_7d,97,0,0.0,32816,2257,712,0.06877742564602633,0.31546300398759414
rolling_7d,97,0,1.0,4613,2439,1886,0.5287231736397139,0.7732677326773267
rolling_7d,97,1,0.0,148,9,6,0.060810810810810814,0.6666666666666666
rolling_7d,97,1,1.0,148,27,24,0.18243243243243243,0.8888888888888888
rolling_7d,98,0,0.0,28088,2791,697,0.09936627741384221,0.2497312791114296
rolling_7d,98,0,1.0,4353,2323,1900,0.5336549506087755,0.8179078777442962
rolling_7d,98,1,0.0,118,3,3,0.025423728813559324,1.0
rolling_7d,98,1,1.0,158,32,30,0.20253164556962025,0.9375
rolling_7d,99,0,0.0,38762,3790,989,0.09777617254011661,0.26094986807387865
rolling_7d,99,0,1.0,5748,2822,2191,0.4909533750869868,0.7763997165131112
rolling_7d,99,1,0.0,137,11,10,0.08029197080291971,0.9090909090909091
rolling_7d,99,1,1.0,188,40,33,0.2127659574468085,0.825
rolling_7d,100,0,0.0,26914,3184,760,0.11830274206732555,0.23869346733668342
rolling_7d,100,0,1.0,3538,1677,1335,0.4739966082532504,0.7960644007155635
rolling_7d,100,1,0.0,155,7,4,0.04516129032258064,0.5714285714285714
rolling_7d,100,1,1.0,141,24,18,0.1702127659574468,0.75
rolling_7d,101,0,0.0,28405,2205,831,0.07762717831367717,0.3768707482993197
rolling_7d,101,0,1.0,4899,2467,1981,0.5035721575831802,0.8029995946493718
rolling_7d,101,1,0.0,164,18,12,0.10975609756097561,0.6666666666666666
rolling_7d,101,1,1.0,142,37,35,0.2605633802816901,0.9459459459459459
rolling_7d,102,0,0.0,24646,1815,725,0.0736427817901485,0.39944903581267216
rolling_7d,102,0,1.0,3851,1820,1512,0.4726045183069333,0.8307692307692308
rolling_7d,102,1,0.0,109,18,16,0.1651376146788991,0.8888888888888888
rolling_7d,102,1,1.0,85,10,9,0.11764705882352941,0.9
rolling_7d,103,0,0.0,13121,1080,498,0.08231079948174681,0.46111111111111114
rolling_7d,103,0,1.0,3278,1334,1189,0.4069554606467358,0.8913043478260869
rolling_7d,103,1,0.0,93,6,6,0.06451612903225806,1.0
rolling_7d,103,1,1.0,50,5,4,0.1,0.8
rolling_7d,104,0,0.0,19682,1701,944,0.08642414388781627,0.5549676660787772
rolling_7d,104,0,1.0,4279,2082,1958,0.4865622809067539,0.9404418828049952
rolling_7d,104,1,0.0,134,13,11,0.09701492537313433,0.8461538461538461
rolling_7d,104,1,1.0,97,21,21,0.21649484536082475,1.0
