model,link,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_LOGIT,logit,expanding_log_abs_large,0.17171089372295872,0.007080139255118851,24.252474073700448,103,2.2432497275501597e-44,0.1576691073987298,0.18575268004718765
EXPANDING_LOGIT,logit,expanding_log_abs_ordinary,0.1714569332214638,0.011990289245242786,14.29964946754644,103,3.30781183661847e-26,0.14767702247667533,0.19523684396625227
EXPANDING_LOGIT,logit,absolute_v5_lagged_30m_price_change,25.642816518197826,6.513490395252321,3.9368779198459953,103,0.00015025668004413727,12.724844560382822,38.56078847601283
EXPANDING_LOGIT,logit,v5_baseline_price,-4.850520474201001,3.842241047163923,-1.2624196177856462,103,0.20964866194374965,-12.470699378373098,2.7696584299710976
EXPANDING_LOGIT,logit,log_lagged_30m_volume,0.22538738848077333,0.018008962773767182,12.515289820526736,103,2.104524700194918e-22,0.18967085832814895,0.2611039186333977
EXPANDING_LOGIT,logit,log_minutes_to_kickoff,0.018846208766119137,0.0431674934199095,0.43658334716805636,103,0.6633273703257705,-0.0667663331505797,0.10445875068281799
ROLLING7_LOGIT,logit,rolling7_log_abs_large,0.1651230410553207,0.0075991236539167135,21.729221496509478,101,7.3321924353536585e-40,0.15004842386828723,0.18019765824235415
ROLLING7_LOGIT,logit,rolling7_log_abs_ordinary,0.1755194626832647,0.012879776105085212,13.627524364648378,101,1.2827865188586989e-24,0.14996945151338614,0.20106947385314328
ROLLING7_LOGIT,logit,absolute_v5_lagged_30m_price_change,23.736290856321876,7.170722167080521,3.310167414558448,101,0.001293562448604574,9.51150698040752,37.961074732236234
ROLLING7_LOGIT,logit,v5_baseline_price,-5.145628438036846,4.453463933005834,-1.1554216033728697,101,0.25064390812373744,-13.980102912171937,3.6888460360982442
ROLLING7_LOGIT,logit,log_lagged_30m_volume,0.2322100993481987,0.020558722213416203,11.29496750516251,101,1.285914668426146e-19,0.19142712471373868,0.2729930739826587
ROLLING7_LOGIT,logit,log_minutes_to_kickoff,0.013604642049589982,0.045529858702580465,0.298807034268677,101,0.765701216345122,-0.07671435021570511,0.10392363431488508
