model,link,contrast,estimate_link_scale,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high,average_marginal_effect_difference
EXPANDING_LOGIT,logit,large_minus_ordinary,0.00025396050149492644,0.014579239108025537,0.017419324809284938,103,0.986135790683726,-0.028660521678601694,0.029168442681591546,8.303890061334321e-06
ROLLING7_LOGIT,logit,large_minus_ordinary,-0.01039642162794402,0.015775640861782413,-0.6590173875680748,101,0.5113843001520118,-0.041691049495845664,0.020898206239957626,-0.00034913800173190447
