classification_family,specification,event_id,large_action,dynamic_high_activity,actions,any_next,same_next,any_next_action_5m,same_direction_given_next_5m
whale_volume,rolling7_top1,101,0,0,27337,1935,657,0.07078318762117276,0.3395348837209302
whale_volume,rolling7_top1,101,0,1,5967,2737,2155,0.4586894586894587,0.7873584216295214
whale_volume,rolling7_top1,101,1,0,89,7,4,0.07865168539325842,0.5714285714285714
whale_volume,rolling7_top1,101,1,1,217,48,43,0.22119815668202766,0.8958333333333334
whale_volume,rolling7_top1,102,0,0,23361,1431,512,0.061255939386156415,0.3577917540181691
whale_volume,rolling7_top1,102,0,1,5136,2204,1725,0.42912772585669784,0.7826678765880217
whale_volume,rolling7_top1,102,1,0,71,17,15,0.23943661971830985,0.8823529411764706
whale_volume,rolling7_top1,102,1,1,123,11,10,0.08943089430894309,0.9090909090909091
whale_volume,rolling7_top1,103,0,0,12144,879,336,0.07238142292490118,0.3822525597269625
whale_volume,rolling7_top1,103,0,1,4255,1535,1351,0.3607520564042303,0.8801302931596091
whale_volume,rolling7_top1,103,1,0,54,2,2,0.037037037037037035,1.0
whale_volume,rolling7_top1,103,1,1,89,9,8,0.10112359550561797,0.8888888888888888
whale_volume,rolling7_top1,104,0,0,18290,1412,705,0.07720065609622745,0.4992917847025496
whale_volume,rolling7_top1,104,0,1,5671,2371,2197,0.4180920472579792,0.9266132433572333
whale_volume,rolling7_top1,104,1,0,74,6,5,0.08108108108108109,0.8333333333333334
whale_volume,rolling7_top1,104,1,1,157,28,27,0.17834394904458598,0.9642857142857143
