specification,percentile,rows,markets,events,large_nonzero_share,ordinary_nonzero_share,large_flow_sd_usdc,ordinary_flow_sd_usdc
expanding,p95,422314,252,104,0.2391230222062257,0.9728851044483489,16491.960692270066,288.35112063044016
expanding,p975,422314,252,104,0.14835643620623518,0.9862637752951595,16482.567116357088,450.0500959304604
expanding,p99,422314,252,104,0.07530889338264893,0.9944377879966092,16465.273638939143,762.8524660574608
expanding,p995,422314,252,104,0.044940494513561,0.9970543245073571,16445.068238287702,1098.7194647056135
rolling7,p95,370079,236,103,0.23974340613760844,0.9786126745911008,17558.415385828077,322.84008262233266
rolling7,p975,370079,236,103,0.14758200276157252,0.989367135125203,17548.7859331698,498.06144748249716
rolling7,p99,370079,236,103,0.07427062870360113,0.9958279178229513,17527.8357581203,850.507200672165
rolling7,p995,370079,236,103,0.044352692263003306,0.997749129239973,17503.639343977713,1201.8767676435482
