model,outcome,rows,markets,events,calendar_hours,within_r_squared,condition_number
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,17975,243,104,687,0.007337243332498855,823.4778749450894
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,16204,227,102,671,0.0080296422611984,850.9601977193335
