model,outcome,rows,markets,events,calendar_hours,within_r_squared,condition_number
EXECUTED_60S_EXPANDING,executed_delta_5m,258936,252,104,1046,0.003163979368540182,877.2410674591096
EXECUTED_60S_ROLLING7,executed_delta_5m,241334,236,103,1046,0.0030348469299460445,897.6417534735457
EXECUTED_300S_EXPANDING,executed_delta_5m,379745,252,104,1066,0.0025627390557473317,915.0089033769167
EXECUTED_300S_ROLLING7,executed_delta_5m,341326,236,103,1066,0.002557992653992258,929.7948481094675
EXECUTED_900S_EXPANDING,executed_delta_5m,411640,252,104,1068,0.0025001611191293183,924.5989675949647
EXECUTED_900S_ROLLING7,executed_delta_5m,363528,236,103,1068,0.0025259331402101015,937.8599358709381
