covariance,cluster,large_minus_ordinary,std_error,t_value,df,p_value,conf_low,conf_high
market,market_id,7.428252895055464e-05,1.0935221474660583e-05,6.7929606293465845,47,1.6850315927212722e-08,5.2283700883372194e-05,9.628135701773708e-05
date,date_utc,7.428252895055464e-05,1.01408092254735e-05,7.325108608093966,49,2.0835324779442742e-09,5.3903809846591354e-05,9.466124805451793e-05
market_date_two_way,market_id + date_utc,7.428252895055464e-05,1.1299631641574346e-05,6.573889424611815,47,3.6254293713915234e-08,5.155060218697675e-05,9.701445571413253e-05
