model,effect,average_marginal_effect,approx_clustered_se,link_scale_estimate,average_link_derivative
EXPANDING_LOGIT,expanding_log_abs_large,0.005614528146762007,0.00023150331507210644,0.1717108937229587,0.03269756522157868
EXPANDING_LOGIT,expanding_log_abs_ordinary,0.005606224256700672,0.00039205326462191656,0.1714569332214638,0.03269756522157868
EXPANDING_LOGIT,large_minus_ordinary,8.303890061334321e-06,0.00047670562161565436,0.0002539605014949,0.03269756522157868
ROLLING7_LOGIT,rolling7_log_abs_large,0.005545247264596576,0.0002551976961294881,0.1651230410553207,0.033582516583732056
ROLLING7_LOGIT,rolling7_log_abs_ordinary,0.005894385266328477,0.0004325352946437796,0.1755194626832647,0.033582516583732056
ROLLING7_LOGIT,large_minus_ordinary,-0.0003491380017319,0.0005297857208598084,-0.010396421627944,0.033582516583732056
